"city","tier","rrci_rank","county","lat","lng","urban_population","acs_pop_18","mutual_aid_meeting_count","meetings_per_10000_count","peer_support_providers_count","drug_drop_off_count","sud_gambling_count","recovery_housing_count","mental_health_center_count","mat_count","hospital_count","rural_clinic_count","va_hc_count","law_enforcement_count","college_count","childcare_provider_count","church_count","workforce_development_centers_count","library_count","park_count","mutual_aid_meeting_rank","meetings_per_10000_rank","peer_support_providers_rank","drug_drop_off_rank","sud_gambling_rank","recovery_housing_rank","mental_health_center_rank","mat_rank","hospital_rank","rural_clinic_rank","va_hc_rank","law_enforcement_rank","college_rank","childcare_provider_rank","church_rank","workforce_development_centers_rank","library_rank","park_rank","breadth_score","depth_rank","culture_size_score","culture_strength_score","rrci_score","GEOID","total_popE","pct_under18","pct_over65","pct_white","pct_nonwhite","pct_poverty","pct_hs","pct_bach","pct_grad","pct_snap","pct_commute_over30","pct_internet","avg_commute","median_ageE","median_ageM","median_earningsE","median_earningsM","median_household_incomeE","median_household_incomeM"
"Atlantic",2,11,"Cass",41.3957,-95.0138,6085,6709,12,17.8864212252199,2,3,1,0,3,0,1,1,0,2,0,18,21,0,1,5,23,4,7,10,13,14,8,15,7,1,14,13,19,22,20,18,7,14,13,59.25,12,208.2689,27.6875,"1903520",6669,0.209026840605788,0.220722747038537,0.961013645224172,0.0389863547758285,0.186641986734536,0.846234749684476,0.214556163230963,0.0599495161968868,0.220878421387651,0.112122196945076,0.720878421387651,14.4930126746831,43.8,1.2,28798,3338,41542,2664
"Carroll",2,12,"Carroll",42.0699,-94.8647,9758,9899,15,15.1530457621982,1,3,1,0,0,1,1,0,1,2,0,21,14,1,1,3,19,7,17,10,13,14,27,10,7,7,3,13,19,19,28,2,7,19,13,67.70834,15,166.9921,29.55208,"1911080",9904,0.241215670436187,0.192952342487884,0.954866720516963,0.0451332794830371,0.0946506323864814,0.919543680576403,0.25863104172921,0.0706994896427499,0.107142857142857,0.095904943772544,0.793851717902351,10.1432208784214,41.6,1.3,35036,3319,47534,5276
"Decorah",2,13,"Winneshiek",43.3016,-91.7846,8184,7765,9,11.5904700579524,2,2,1,0,3,0,1,0,1,2,1,21,17,1,1,4,28,14,7,19,13,14,8,15,7,7,3,13,5,19,26,2,7,16,15,55.60714,9,84.47394,32.90179,"1919405",7701,0.141929619529931,0.186728996234255,0.947409427347098,0.0525905726529022,0.0924490899261128,0.96741440377804,0.466587957497048,0.222195985832349,0.0469724770642202,0.103227395910323,0.824954128440367,13.3111603843311,30.5,1.8,14014,2733,62336,8545
"Clinton",2,14,"Clinton",41.8434,-90.2409,30642,25637,19,7.41116355267777,1,3,1,2,3,1,1,0,0,2,1,31,26,1,2,3,16,27,17,10,13,6,8,10,7,7,14,13,5,17,16,2,3,19,15,38.42857,19,23.14735,33.48214,"1914430",25416,0.217854894554611,0.187126219704123,0.903761410135348,0.0962385898646522,0.173432182790472,0.885460074332695,0.174794458835454,0.0502308818560649,0.202249297094658,0.154365563162337,0.755014058106842,16.1797805495639,40.9,1.2,30392,1406,44094,2065
"Muscatine",2,15,"Muscatine",41.4195,-91.068,26335,23864,26,10.8950720750922,0,2,1,0,0,0,1,0,0,2,1,41,45,1,1,6,11,15,25,19,13,14,27,15,7,7,14,13,5,13,9,2,7,12,11,60.15,26,93.95164,33.5375,"1955110",23774,0.250315470682258,0.150374358542946,0.880962395894675,0.119037604105325,0.141393354769561,0.879695885509839,0.199910554561717,0.0663174035267059,0.12175564465077,0.11778953978649,0.778434268833087,15.4673903292366,36.1,1.2,32153,1886,52660,3631
"Fairfield",2,16,"Jefferson",41.0061,-91.9669,11361,10216,15,14.6828504306969,2,2,0,0,2,0,1,0,0,2,1,14,26,0,1,7,19,8,7,19,24,14,15,15,7,7,14,13,5,25,16,18,7,10,11,63.2,15,135.4354,34.675,"1926445",10290,0.129931972789116,0.208260447035957,0.734013605442177,0.265986394557823,0.145264932055199,0.943798697151616,0.39966790139226,0.176906373738664,0.18490467484983,0.0453612947344427,0.814572995560198,9.99088215181217,40.7,1,22201,5322,40920,5836
"Bettendorf",2,17,"Scott",41.5656,-90.4764,35813,35793,31,8.66091135138156,0,2,2,1,1,0,1,0,0,2,1,50,14,0,1,0,9,23,25,19,7,9,16,15,7,7,14,13,5,9,28,18,7,30,11,64.6,31,73.59347,36.025,"1906355",35919,0.252178512764832,0.159553439683733,0.882123667139954,0.117876332860046,0.0608181894548204,0.976135395105321,0.505945858192297,0.206258370875441,0.0427601001072578,0.134635446852904,0.889524490525563,18.625246319694,40.1,1.2,44150,1832,82153,3776
"Harlan",2,18,"Shelby",41.6496,-95.3268,4717,4883,20,40.9584271963957,0,2,1,0,1,0,1,1,0,2,0,7,18,0,1,3,15,1,25,19,13,14,16,15,7,1,14,13,19,29,24,18,7,19,11,94.05,20,515.3713,37.7625,"1934500",4845,0.202889576883385,0.250361197110423,0.946130030959752,0.0538699690402477,0.0924440692275222,0.917211948790896,0.242389758179232,0.0597439544807966,0.135052447552448,0.174268502581756,0.779283216783217,16.4135111876076,47.4,2.1,31846,2012,52063,8117
"Boone",2,19,"Boone",42.053,-93.877,12640,12529,17,13.5685210312076,3,2,0,1,0,1,1,0,0,2,0,18,20,0,1,2,18,10,4,19,24,9,27,10,7,7,14,13,19,22,21,18,7,24,11,85.2,17,143.8324,38.925,"1907480",12487,0.222070953791944,0.16625290301914,0.936574036998478,0.0634259630015216,0.0797730036481556,0.937058823529412,0.218,0.068,0.120960120960121,0.23093447905478,0.824229824229824,20.9314101580482,39.2,1.5,32408,2087,57943,8147
"Spencer",2,20,"Clay",43.1468,-95.1534,10769,11092,10,9.01550667147494,1,3,1,0,1,0,1,0,0,3,0,20,22,1,1,4,25,22,17,10,13,14,16,15,7,7,14,5,19,21,19,2,7,16,12,62.54546,10,64.12075,39.51136,"1974280",11052,0.230094100615273,0.220503076366269,0.955030763662685,0.0449692363373145,0.121121773968136,0.95331286774111,0.222947045280123,0.0612688667178306,0.133973205358928,0.173501577287066,0.821635672865427,15.3648790746583,43.5,1.4,32405,2808,46545,5781
"Burlington",3,21,"Des Moines",40.8072,-91.1247,28830,25127,18,7.16360886695586,1,1,2,0,1,0,0,0,0,3,0,71,43,1,1,6,17,28,17,28,7,14,16,15,30,7,14,5,19,7,10,2,7,12,12,54.36364,18,23.47829,40.09091,"1909550",24974,0.227556658925282,0.20257067350044,0.87426924000961,0.12573075999039,0.206988148753576,0.911120106401434,0.188689064939571,0.0586364424911814,0.199419079604248,0.119801635635984,0.772714895162022,15.5668174699843,42.5,1,30062,2338,47540,2511
"Knoxville",3,22,"Marion",41.3188,-93.1024,7212,7200,10,13.8888888888889,2,3,1,0,0,0,1,0,1,2,0,14,26,0,1,3,25,9,7,10,13,14,27,15,7,7,3,13,19,25,16,18,7,19,11,73.85,10,126.1354,40.3375,"1942015",7192,0.206479421579533,0.19813681868743,0.956201334816463,0.0437986651835373,0.149310981673533,0.915241057542768,0.148911353032659,0.0674572317262831,0.211144578313253,0.248354278874925,0.694578313253012,19.0514661879114,40.9,2.8,32153,4368,47844,5038
"Charles City",3,23,"Floyd",43.0644,-92.6745,7425,7413,10,13.4898151895319,1,1,0,0,1,0,1,1,0,2,0,32,19,0,1,11,25,11,17,28,24,14,16,15,7,1,14,13,19,15,23,18,7,4,11,74.85,10,121.1319,40.8375,"1912765",7396,0.215657111952407,0.236343969713359,0.893996755002704,0.106003244997296,0.243942959988924,0.867556263692492,0.203146783509261,0.0384385580561641,0.205113306217316,0.16765347460268,0.752469494479953,14.085384855095,44.1,4.3,25006,2913,41060,8032
"Winterset",3,24,"Madison",41.3457,-94.0137,5127,5203,8,15.3757447626369,0,2,0,0,1,0,1,1,0,2,0,18,18,0,1,9,29,6,25,19,24,14,16,15,7,1,14,13,19,22,24,18,7,8,11,72.6,8,132.3776,41.4,"1986520",5260,0.252091254752852,0.187832699619772,0.960836501901141,0.0391634980988593,0.0629093074022624,0.926491376873056,0.256149279050042,0.0777495052304213,0.0859167404782994,0.391777509068924,0.770150575730735,25.8403869407497,38.5,2.8,34868,6653,52835,9287
"Spirit Lake",3,25,"Dickinson",43.4176,-95.1109,11398,5021,11,21.9079864568811,1,2,1,0,1,0,1,0,1,2,0,6,15,0,1,4,24,3,17,19,13,14,16,15,7,7,3,13,19,30,27,18,7,16,12,81.36364,11,72.1829,42.21591,"1974415",5069,0.188597356480568,0.211086999408167,0.981061353324127,0.018938646675873,0.0790378006872852,0.961612284069098,0.375102824239101,0.0806142034548944,0.0568181818181818,0.127832861189802,0.84012539184953,12.5690509915014,42.5,5.7,32383,9281,54293,8525
"Newton",3,26,"Jasper",41.6964,-93.0403,15505,15167,14,9.23056636117887,2,3,2,0,3,0,1,0,0,2,0,28,29,0,1,3,21,21,7,10,7,14,8,15,7,7,14,13,19,18,15,18,7,19,11,69.65,14,68.31228,42.5375,"1956505",15164,0.225600105513057,0.210036929570034,0.940451068319705,0.0595489316802954,0.14211590296496,0.922995982399082,0.153529749378228,0.0480198966902621,0.198638613861386,0.281626063985911,0.787747524752475,19.017464044614,42.4,2.1,29685,3174,48481,3255
"Algona",3,27,"Kossuth",43.0743,-94.2301,5251,5455,13,23.8313473877177,0,2,0,0,1,0,1,1,0,2,0,14,13,0,1,15,22,2,25,19,24,14,16,15,7,1,14,13,19,25,30,18,7,1,10,79.33334,13,271.3306,42.95834,"1901135",5447,0.202129612630806,0.261795483752524,0.980172572058014,0.0198274279419864,0.0959346504559271,0.927584442169908,0.198055271238485,0.0465711361310133,0.142967542503864,0.0635910224438903,0.771251931993818,9.22693266832918,46.6,3.1,37671,2980,51476,2835
"Cedar Falls",3,28,"Black Hawk",42.5195,-92.4534,41570,41202,23,5.58225328867531,0,1,0,0,1,4,1,0,0,4,1,44,43,0,1,11,13,30,25,28,24,14,16,6,7,7,14,2,5,12,10,18,7,4,11,59.65,24,16.71881,44.9125,"1911755",40983,0.19005441280531,0.139692067442598,0.909962667447478,0.0900373325525218,0.179975164669042,0.960961371824691,0.474118666484243,0.187485748164364,0.0763028515240905,0.063573489671598,0.873090789904949,14.6924380524894,27.2,0.9,24502,3249,61420,4007
"Des Moines",3,29,"Polk",41.5725,-93.6105,481222,215932,213,9.86421651260582,7,12,20,6,20,19,6,0,2,11,4,525,160,2,6,5,1,17,1,1,1,1,1,1,1,7,1,1,2,1,1,1,1,14,17,5.46875,213,-6.206409,45.99219,"1921000",215636,0.237812795637092,0.120072715131054,0.757540484891206,0.242459515108794,0.160742567215136,0.863246111774557,0.266929061526177,0.081036200597808,0.190637633544208,0.159748261762545,0.802208940617245,18.880650449398,34.2,0.4,31967,456,53525,1260
"Mount Pleasant",3,30,"Henry",40.9625,-91.5453,8465,8528,8,9.38086303939962,2,3,0,0,1,0,1,0,0,3,1,8,20,0,1,11,29,20,7,10,24,14,16,15,7,7,14,5,5,28,21,18,7,4,11,63.65,8,59.65702,46.4125,"1954705",8581,0.184360797109894,0.178067824262906,0.848502505535485,0.151497494464515,0.131506472046268,0.921309789130808,0.200068575347163,0.0505743185324876,0.107165304839723,0.180785123966942,0.815210559396606,14.1683884297521,36.6,2.4,27062,2633,51350,2533
